sociologie,year
4,1900
2,1901
3,1902
5,1903
0,1904
2,1905
2,1906
1,1907
4,1908
0,1909
3,1910
7,1911
4,1912
4,1913
3,1914
2,1915
0,1916
2,1917
1,1918
1,1919
4,1920
6,1921
4,1922
0,1923
7,1924
3,1925
1,1926
6,1927
3,1928
7,1929
6,1930
6,1931
8,1932
8,1933
8,1934
9,1935
10,1936
7,1937
10,1938
5,1939
5,1940
4,1941
8,1942
9,1943
12,1944
28,1945
19,1946
16,1947
25,1948
31,1949
41,1950
33,1951
39,1952
39,1953
49,1954
36,1955
56,1956
65,1957
48,1958
64,1959
65,1960
87,1961
104,1962
121,1963
163,1964
183,1965
244,1966
282,1967
329,1968
312,1969
428,1970
409,1971
450,1972
496,1973
410,1974
409,1975
404,1976
368,1977
346,1978
370,1979
290,1980
276,1981
274,1982
269,1983
261,1984
302,1985
322,1986
340,1987
332,1988
357,1989
305,1990
317,1991
303,1992
326,1993
351,1994
392,1995
400,1996
428,1997
444,1998
371,1999
440,2000
422,2001
396,2002
383,2003
354,2004
428,2005
411,2006
376,2007
392,2008
368,2009
395,2010

