sociologie,year
26,1900
19,1901
17,1902
24,1903
46,1904
57,1905
51,1906
57,1907
68,1908
53,1909
76,1910
60,1911
69,1912
75,1913
34,1914
4,1915
6,1916
12,1917
6,1918
35,1919
23,1920
38,1921
26,1922
24,1923
29,1924
24,1925
34,1926
55,1927
45,1928
41,1929
56,1930
33,1931
69,1932
57,1933
56,1934
76,1935
63,1936
43,1937
97,1938
66,1939
36,1940
20,1941
11,1942
22,1943
43,1944
130,1945
95,1946
62,1947
70,1948
109,1949
124,1950
104,1951
108,1952
135,1953
112,1954
207,1955
181,1956
142,1957
219,1958
225,1959
243,1960
227,1961
275,1962
429,1963
366,1964
352,1965
425,1966
445,1967
574,1968
582,1969
629,1970
656,1971
514,1972
492,1973
384,1974
336,1975
278,1976
279,1977
293,1978
280,1979
202,1980
185,1981
224,1982
178,1983
192,1984
178,1985
195,1986
201,1987
189,1988
207,1989
217,1990
217,1991
267,1992
241,1993
288,1994
263,1995
282,1996
277,1997
261,1998
283,1999
274,2000
301,2001
788,2002
544,2003
848,2004
693,2005
1109,2006
969,2007
384,2008
293,2009
277,2010

