sociologie,year
2,1900
1,1901
0,1902
2,1903
5,1904
4,1905
1,1906
4,1907
4,1908
5,1909
2,1910
6,1911
8,1912
1,1913
3,1914
1,1915
5,1916
4,1917
1,1918
2,1919
6,1920
4,1921
10,1922
11,1923
9,1924
9,1925
17,1926
10,1927
11,1928
15,1929
4,1930
16,1931
17,1932
7,1933
12,1934
9,1935
12,1936
7,1937
9,1938
5,1939
5,1940
5,1941
8,1942
2,1943
2,1944
2,1945
2,1946
5,1947
14,1948
6,1949
6,1950
10,1951
17,1952
15,1953
19,1954
28,1955
23,1956
16,1957
31,1958
29,1959
28,1960
31,1961
34,1962
34,1963
46,1964
41,1965
51,1966
79,1967
91,1968
88,1969
100,1970
107,1971
131,1972
160,1973
130,1974
111,1975
101,1976
95,1977
101,1978
87,1979
74,1980
70,1981
72,1982
67,1983
55,1984
75,1985
65,1986
57,1987
54,1988
46,1989
60,1990
63,1991
56,1992
60,1993
48,1994
65,1995
61,1996
71,1997
47,1998
31,1999
37,2000
39,2001
35,2002
37,2003
37,2004
29,2005
32,2006
19,2007
20,2008
14,2009
15,2010

