None,year
9,1001
1,1002
1,1003
1,1004
0,1005
0,1006
0,1007
0,1008
0,1009
0,1010
0,1011
0,1012
1,1013
0,1014
0,1015
0,1016
0,1017
0,1018
0,1019
2,1020
0,1021
0,1022
0,1023
1,1024
0,1025
0,1026
0,1027
0,1028
0,1029
0,1030
0,1031
0,1032
0,1033
1,1034
0,1035
0,1036
0,1037
0,1038
1,1039
1,1040
0,1041
0,1042
1,1043
0,1044
0,1045
0,1046
0,1047
1,1048
1,1049
2,1050
1,1051
0,1052
0,1053
0,1054
0,1055
0,1056
0,1057
0,1058
1,1059
0,1060
0,1061
0,1062
0,1063
0,1064
0,1065
1,1066
0,1067
0,1068
2,1069
1,1070
0,1071
0,1072
1,1073
0,1074
1,1075
0,1076
1,1077
2,1078
1,1079
0,1080
0,1081
0,1082
0,1083
0,1084
0,1085
0,1086
0,1087
0,1088
0,1089
0,1090
1,1091
0,1092
1,1093
2,1094
0,1095
0,1096
0,1097
0,1098
1,1099
5,1100
17,1101
0,1102
0,1103
0,1104
0,1105
1,1106
0,1107
0,1108
0,1109
0,1110
0,1111
0,1112
0,1113
0,1114
3,1115
0,1116
1,1117
0,1118
1,1119
0,1120
1,1121
0,1122
0,1123
0,1124
0,1125
0,1126
0,1127
0,1128
0,1129
1,1130
0,1131
0,1132
0,1133
0,1134
0,1135
0,1136
0,1137
1,1138
0,1139
0,1140
1,1141
0,1142
4,1143
0,1144
0,1145
0,1146
0,1147
0,1148
0,1149
5,1150
0,1151
0,1152
0,1153
0,1154
0,1155
0,1156
0,1157
0,1158
0,1159
2,1160
2,1161
0,1162
2,1163
0,1164
2,1165
0,1166
1,1167
0,1168
0,1169
0,1170
0,1171
0,1172
1,1173
0,1174
0,1175
0,1176
0,1177
0,1178
0,1179
45,1180
4,1181
1,1182
2,1183
2,1184
3,1185
0,1186
3,1187
2,1188
1,1189
4,1190
6,1191
4,1192
6,1193
6,1194
6,1195
3,1196
5,1197
1,1198
4,1199
8,1200
10,1201
0,1202
1,1203
1,1204
0,1205
0,1206
0,1207
1,1208
0,1209
0,1210
0,1211
0,1212
0,1213
0,1214
0,1215
0,1216
0,1217
0,1218
2,1219
2,1220
0,1221
0,1222
0,1223
0,1224
0,1225
0,1226
0,1227
0,1228
0,1229
0,1230
0,1231
0,1232
0,1233
0,1234
1,1235
0,1236
0,1237
0,1238
0,1239
1,1240
0,1241
0,1242
0,1243
0,1244
2,1245
0,1246
0,1247
0,1248
0,1249
11,1250
1,1251
0,1252
0,1253
0,1254
0,1255
0,1256
0,1257
0,1258
0,1259
2,1260
0,1261
1,1262
0,1263
0,1264
1,1265
0,1266
1,1267
2,1268
0,1269
2,1270
0,1271
0,1272
0,1273
0,1274
2,1275
2,1276
0,1277
0,1278
0,1279
0,1280
0,1281
1,1282
0,1283
0,1284
31,1285
0,1286
3,1287
0,1288
2,1289
2,1290
0,1291
0,1292
1,1293
1,1294
1,1295
5,1296
2,1297
3,1298
7,1299
8,1300
33,1301
1,1302
0,1303
2,1304
2,1305
0,1306
2,1307
0,1308
1,1309
0,1310
0,1311
0,1312
1,1313
0,1314
0,1315
0,1316
0,1317
0,1318
0,1319
1,1320
0,1321
1,1322
0,1323
1,1324
0,1325
2,1326
0,1327
1,1328
0,1329
2,1330
0,1331
1,1332
0,1333
1,1334
1,1335
0,1336
1,1337
1,1338
0,1339
1,1340
0,1341
0,1342
1,1343
1,1344
1,1345
3,1346
1,1347
1,1348
0,1349
5,1350
2,1351
2,1352
3,1353
2,1354
2,1355
1,1356
1,1357
0,1358
0,1359
2,1360
0,1361
0,1362
2,1363
1,1364
0,1365
4,1366
2,1367
0,1368
1,1369
1,1370
0,1371
4,1372
1,1373
0,1374
3,1375
3,1376
0,1377
1,1378
1,1379
1,1380
1,1381
0,1382
0,1383
1,1384
1,1385
1,1386
0,1387
2,1388
3,1389
5,1390
2,1391
2,1392
0,1393
5,1394
1,1395
0,1396
1,1397
1,1398
3,1399
57,1400
49,1401
0,1402
4,1403
0,1404
4,1405
1,1406
1,1407
1,1408
0,1409
6,1410
0,1411
1,1412
0,1413
0,1414
3,1415
2,1416
3,1417
0,1418
2,1419
4,1420
0,1421
1,1422
1,1423
1,1424
12,1425
0,1426
1,1427
1,1428
0,1429
19,1430
0,1431
0,1432
3,1433
2,1434
2,1435
1,1436
0,1437
1,1438
2,1439
5,1440
4,1441
1,1442
0,1443
1,1444
4,1445
2,1446
2,1447
3,1448
2,1449
31,1450
7,1451
2,1452
1,1453
16,1454
16,1455
10,1456
15,1457
10,1458
7,1459
25,1460
35,1461
29,1462
12,1463
6,1464
31,1465
13,1466
40,1467
34,1468
74,1469
208,1470
272,1471
242,1472
254,1473
268,1474
418,1475
355,1476
426,1477
337,1478
263,1479
495,1480
396,1481
371,1482
537,1483
365,1484
462,1485
449,1486
439,1487
477,1488
418,1489
538,1490
462,1491
588,1492
584,1493
537,1494
727,1495
670,1496
711,1497
617,1498
641,1499
1185,1500
219,1501
240,1502
215,1503
170,1504
283,1505
181,1506
205,1507
298,1508
252,1509
350,1510
249,1511
300,1512
308,1513
274,1514
345,1515
338,1516
319,1517
379,1518
421,1519
554,1520
421,1521
292,1522
365,1523
296,1524
432,1525
386,1526
392,1527
432,1528
469,1529
669,1530
574,1531
499,1532
530,1533
596,1534
548,1535
502,1536
461,1537
592,1538
544,1539
786,1540
514,1541
590,1542
614,1543
650,1544
630,1545
654,1546
582,1547
914,1548
833,1549
1137,1550
767,1551
700,1552
727,1553
723,1554
901,1555
905,1556
652,1557
691,1558
741,1559
796,1560
760,1561
851,1562
753,1563
769,1564
853,1565
1168,1566
998,1567
897,1568
837,1569
1046,1570
764,1571
920,1572
875,1573
871,1574
991,1575
781,1576
866,1577
1009,1578
1117,1579
1178,1580
1243,1581
1132,1582
1108,1583
1259,1584
1512,1585
1000,1586
982,1587
1086,1588
1032,1589
1089,1590
1054,1591
1053,1592
934,1593
988,1594
1212,1595
1243,1596
1088,1597
1243,1598
1317,1599
1903,1600
1379,1601
1276,1602
1477,1603
1462,1604
1373,1605
1593,1606
1705,1607
1805,1608
2001,1609
1891,1610
1816,1611
1904,1612
1831,1613
1874,1614
2024,1615
1984,1616
1928,1617
2071,1618
2091,1619
2279,1620
2310,1621
2200,1622
1950,1623
1994,1624
2246,1625
1735,1626
1727,1627
1919,1628
1929,1629
2238,1630
2045,1631
1731,1632
2088,1633
1981,1634
2419,1635
1546,1636
1600,1637
1886,1638
1845,1639
2655,1640
6521,1641
10871,1642
7325,1643
4629,1644
4001,1645
3609,1646
5105,1647
6150,1648
5399,1649
5003,1650
3372,1651
3377,1652
3807,1653
3463,1654
3511,1655
2931,1656
3123,1657
3120,1658
5327,1659
6918,1660
4117,1661
3272,1662
3007,1663
2738,1664
2839,1665
2154,1666
2234,1667
2389,1668
2325,1669
3097,1670
2563,1671
3155,1672
2816,1673
3104,1674
3221,1675
2685,1676
2664,1677
3102,1678
4296,1679
5314,1680
4811,1681
4529,1682
4331,1683
4135,1684
4890,1685
2841,1686
3183,1687
4900,1688
5363,1689
4800,1690
3802,1691
3600,1692
3611,1693
3343,1694
4663,1695
4115,1696
3652,1697
4092,1698
4076,1699
6316,1700
2694,1701
2523,1702
2338,1703
2267,1704
2410,1705
2206,1706
2270,1707
2195,1708
2371,1709
2870,1710
2686,1711
2577,1712
2326,1713
2749,1714
2583,1715
2214,1716
2368,1717
2264,1718
2408,1719
3032,1720
2296,1721
2071,1722
1970,1723
2066,1724
2485,1725
2299,1726
2275,1727
2234,1728
2324,1729
2570,1730
2181,1731
2337,1732
2225,1733
2259,1734
2391,1735
2195,1736
2162,1737
2325,1738
2420,1739
2812,1740
2287,1741
2180,1742
2262,1743
2385,1744
2503,1745
2126,1746
2208,1747
2247,1748
2502,1749
3433,1750
2543,1751
2557,1752
2836,1753
2804,1754
3022,1755
2961,1756
2922,1757
2691,1758
2707,1759
3399,1760
3104,1761
3128,1762
2713,1763
2853,1764
3562,1765
3375,1766
3391,1767
3667,1768
3722,1769
4518,1770
3918,1771
4035,1772
3709,1773
3661,1774
4373,1775
4005,1776
4100,1777
4058,1778
3786,1779
4680,1780
3951,1781
3749,1782
3956,1783
4471,1784
4772,1785
4631,1786
7812,1787
5786,1788
7006,1789
12332,1790
6604,1791
5999,1792
5629,1793
4393,1794
4652,1795
4360,1796
4394,1797
4365,1798
4393,1799
7833,1800
2134,1801
2405,1802
