None,year
2337,1900
1774,1901
1996,1902
2297,1903
2365,1904
2559,1905
2535,1906
2540,1907
2465,1908
2634,1909
2756,1910
2589,1911
3166,1912
3232,1913
2512,1914
1804,1915
1906,1916
2360,1917
2364,1918
2730,1919
3192,1920
2929,1921
3201,1922
3557,1923
4116,1924
4433,1925
4210,1926
4196,1927
4235,1928
4465,1929
5887,1930
5277,1931
5116,1932
5035,1933
5302,1934
5491,1935
5849,1936
5968,1937
6296,1938
6071,1939
4521,1940
5713,1941
5041,1942
4555,1943
3967,1944
4794,1945
8304,1946
7979,1947
7977,1948
7875,1949
8796,1950
7276,1951
8068,1952
7645,1953
8573,1954
9018,1955
9079,1956
8775,1957
9726,1958
9599,1959
10784,1960
11104,1961
11280,1962
12556,1963
12843,1964
13152,1965
13814,1966
14361,1967
15473,1968
15901,1969
15718,1970
16215,1971
16753,1972
16511,1973
16520,1974
17475,1975
17620,1976
18390,1977
19847,1978
20153,1979
21125,1980
22076,1981
20385,1982
20935,1983
21741,1984
23875,1985
24397,1986
25074,1987
25683,1988
25654,1989
27282,1990
27402,1991
27264,1992
28142,1993
28875,1994
28414,1995
30546,1996
32005,1997
31627,1998
32284,1999
32938,2000
31624,2001
31869,2002
31562,2003
31726,2004
32311,2005
32670,2006
33716,2007
30438,2008
26480,2009
20636,2010

