None,year
1395,1900
1406,1901
1441,1902
1562,1903
1740,1904
1779,1905
1816,1906
1930,1907
2071,1908
1919,1909
2268,1910
2012,1911
2307,1912
2441,1913
1911,1914
1616,1915
1567,1916
1669,1917
1537,1918
1830,1919
2208,1920
2097,1921
2359,1922
2465,1923
2860,1924
2884,1925
3003,1926
3315,1927
3484,1928
3885,1929
3921,1930
3754,1931
3772,1932
3612,1933
3569,1934
3797,1935
3740,1936
4229,1937
4169,1938
4515,1939
3447,1940
3159,1941
3448,1942
3811,1943
4679,1944
5844,1945
7642,1946
8318,1947
8697,1948
9102,1949
10197,1950
9540,1951
10530,1952
10429,1953
10602,1954
10953,1955
11411,1956
12703,1957
13667,1958
14447,1959
18341,1960
18962,1961
20523,1962
23113,1963
25764,1964
28622,1965
30122,1966
33260,1967
33790,1968
33826,1969
34072,1970
32352,1971
32747,1972
32134,1973
31378,1974
32412,1975
33150,1976
33718,1977
33761,1978
34101,1979
31768,1980
29152,1981
28450,1982
28729,1983
30671,1984
31707,1985
33476,1986
35328,1987
35953,1988
37016,1989
39081,1990
38281,1991
40111,1992
41135,1993
41022,1994
41872,1995
44569,1996
44967,1997
44671,1998
44253,1999
46066,2000
41974,2001
40216,2002
38593,2003
38818,2004
38974,2005
38853,2006
38649,2007
33872,2008
31721,2009
28317,2010

