None,year
7436,1900
6075,1901
6592,1902
6833,1903
7506,1904
8335,1905
7294,1906
7859,1907
8699,1908
8383,1909
9224,1910
8755,1911
9090,1912
10188,1913
6797,1914
2544,1915
2961,1916
3347,1917
3814,1918
6925,1919
9263,1920
9766,1921
10705,1922
10762,1923
11093,1924
11653,1925
11918,1926
12139,1927
12672,1928
12581,1929
14481,1930
12624,1931
11960,1932
12076,1933
12122,1934
13064,1935
12658,1936
12670,1937
13018,1938
11127,1939
5626,1940
7862,1941
8540,1942
8138,1943
7213,1944
10519,1945
14941,1946
15404,1947
15371,1948
14498,1949
15207,1950
14696,1951
15184,1952
14994,1953
16198,1954
16552,1955
17143,1956
17614,1957
19013,1958
18352,1959
19927,1960
20590,1961
21734,1962
22892,1963
24049,1964
24953,1965
26419,1966
28764,1967
29445,1968
30804,1969
33419,1970
31056,1971
31880,1972
31166,1973
27829,1974
26397,1975
26560,1976
26305,1977
25321,1978
24470,1979
24702,1980
22924,1981
21504,1982
21683,1983
22833,1984
23330,1985
23061,1986
23683,1987
23245,1988
23915,1989
24666,1990
24718,1991
25221,1992
25302,1993
26269,1994
26460,1995
26392,1996
26288,1997
26721,1998
25822,1999
26215,2000
26419,2001
27126,2002
26584,2003
27541,2004
28385,2005
28838,2006
27468,2007
25395,2008
22966,2009
19687,2010

