None,year
2279,1900
2205,1901
2451,1902
2824,1903
2965,1904
3075,1905
3092,1906
3427,1907
3640,1908
3882,1909
4458,1910
4398,1911
4636,1912
4780,1913
3857,1914
2670,1915
2509,1916
2481,1917
2142,1918
2713,1919
3405,1920
3861,1921
4179,1922
3712,1923
3303,1924
4085,1925
4287,1926
4549,1927
5032,1928
5079,1929
5385,1930
4983,1931
4535,1932
4509,1933
4686,1934
4731,1935
4647,1936
4755,1937
4721,1938
4502,1939
4462,1940
3774,1941
2937,1942
2563,1943
1323,1944
1065,1945
1705,1946
2433,1947
3714,1948
4438,1949
4731,1950
4730,1951
5222,1952
5438,1953
6313,1954
6863,1955
7395,1956
7680,1957
8488,1958
9223,1959
10126,1960
10294,1961
10773,1962
11369,1963
12005,1964
13149,1965
13571,1966
14814,1967
16399,1968
16560,1969
16079,1970
14437,1971
14513,1972
14389,1973
13401,1974
12958,1975
13167,1976
13594,1977
13348,1978
13098,1979
12950,1980
11958,1981
11895,1982
11928,1983
11508,1984
11581,1985
12004,1986
11619,1987
12002,1988
11219,1989
10506,1990
10159,1991
9803,1992
9685,1993
9380,1994
9292,1995
9035,1996
9362,1997
9108,1998
8763,1999
8452,2000
7243,2001
6907,2002
6489,2003
6158,2004
6724,2005
6251,2006
6088,2007
5568,2008
4487,2009
3192,2010

