None,year
264,1900
242,1901
236,1902
264,1903
282,1904
249,1905
282,1906
331,1907
302,1908
324,1909
405,1910
320,1911
404,1912
296,1913
290,1914
232,1915
200,1916
157,1917
152,1918
211,1919
320,1920
388,1921
376,1922
416,1923
472,1924
490,1925
518,1926
499,1927
614,1928
653,1929
707,1930
618,1931
771,1932
708,1933
822,1934
758,1935
737,1936
743,1937
857,1938
729,1939
603,1940
604,1941
635,1942
549,1943
459,1944
495,1945
696,1946
796,1947
824,1948
934,1949
1094,1950
1085,1951
1091,1952
1268,1953
1402,1954
1357,1955
1271,1956
1420,1957
1613,1958
1628,1959
1731,1960
1835,1961
1905,1962
1937,1963
2175,1964
2443,1965
2533,1966
2466,1967
2510,1968
2535,1969
2444,1970
2365,1971
2624,1972
2507,1973
2929,1974
2714,1975
3053,1976
3194,1977
2882,1978
3071,1979
2630,1980
2563,1981
2421,1982
2567,1983
2628,1984
2330,1985
2348,1986
2309,1987
2719,1988
2406,1989
2587,1990
2374,1991
2565,1992
2480,1993
2597,1994
2571,1995
2702,1996
2510,1997
2554,1998
2588,1999
3061,2000
2587,2001
2280,2002
2274,2003
2253,2004
2081,2005
1984,2006
1958,2007
1847,2008
1477,2009
963,2010

