None,year
380,1900
378,1901
398,1902
394,1903
387,1904
417,1905
400,1906
378,1907
365,1908
377,1909
424,1910
392,1911
445,1912
462,1913
408,1914
210,1915
168,1916
178,1917
189,1918
181,1919
277,1920
283,1921
307,1922
311,1923
315,1924
409,1925
368,1926
592,1927
388,1928
403,1929
418,1930
357,1931
365,1932
410,1933
408,1934
423,1935
366,1936
411,1937
401,1938
333,1939
263,1940
230,1941
211,1942
199,1943
151,1944
182,1945
246,1946
366,1947
379,1948
415,1949
412,1950
442,1951
387,1952
446,1953
463,1954
482,1955
500,1956
543,1957
521,1958
494,1959
546,1960
739,1961
820,1962
760,1963
844,1964
877,1965
776,1966
844,1967
837,1968
779,1969
782,1970
656,1971
647,1972
558,1973
507,1974
568,1975
487,1976
481,1977
442,1978
452,1979
396,1980
345,1981
355,1982
361,1983
378,1984
343,1985
330,1986
290,1987
353,1988
345,1989
386,1990
337,1991
376,1992
305,1993
384,1994
374,1995
332,1996
375,1997
464,1998
344,1999
267,2000
269,2001
270,2002
224,2003
206,2004
174,2005
213,2006
164,2007
150,2008
132,2009
2243,2010

