None,year
87,1900
80,1901
61,1902
84,1903
89,1904
137,1905
93,1906
98,1907
98,1908
94,1909
130,1910
111,1911
136,1912
140,1913
116,1914
108,1915
140,1916
111,1917
108,1918
171,1919
159,1920
150,1921
170,1922
184,1923
201,1924
192,1925
238,1926
257,1927
287,1928
303,1929
308,1930
241,1931
247,1932
263,1933
315,1934
342,1935
502,1936
273,1937
308,1938
266,1939
217,1940
309,1941
351,1942
478,1943
616,1944
774,1945
980,1946
884,1947
908,1948
783,1949
900,1950
1012,1951
1078,1952
1041,1953
1130,1954
1034,1955
1181,1956
1178,1957
1293,1958
1119,1959
1257,1960
1300,1961
1343,1962
1516,1963
1639,1964
1546,1965
1702,1966
1886,1967
2182,1968
2260,1969
2252,1970
2291,1971
2440,1972
2047,1973
2046,1974
2084,1975
2113,1976
1960,1977
1969,1978
1810,1979
1859,1980
1855,1981
1948,1982
1882,1983
2022,1984
2150,1985
2116,1986
2348,1987
2508,1988
2620,1989
2816,1990
2776,1991
3146,1992
2534,1993
2622,1994
2437,1995
2479,1996
2316,1997
2492,1998
2467,1999
2533,2000
2408,2001
2342,2002
2029,2003
1995,2004
2020,2005
2033,2006
1888,2007
1668,2008
1109,2009
716,2010

