chemie,fysica,biologie,informatica,ICT,neurologie,year
9,28,6,37,0,0,1900
4,27,10,24,0,0,1901
6,16,3,30,0,0,1902
3,38,4,35,0,0,1903
1,50,7,45,0,0,1904
2,29,7,24,0,0,1905
9,41,5,41,0,0,1906
10,56,6,36,0,0,1907
5,23,8,35,0,0,1908
5,49,12,49,2,0,1909
9,40,12,48,0,0,1910
3,37,12,45,0,0,1911
7,50,11,65,1,0,1912
6,68,9,63,0,1,1913
5,56,7,38,0,0,1914
0,16,7,32,0,0,1915
3,17,6,16,0,0,1916
6,17,9,31,0,0,1917
6,23,6,23,0,0,1918
3,26,5,36,0,0,1919
5,50,16,53,1,0,1920
9,46,17,70,0,0,1921
10,52,14,85,0,0,1922
8,50,13,102,0,0,1923
11,45,10,86,1,0,1924
7,61,11,68,0,0,1925
15,54,18,82,0,0,1926
7,61,9,96,0,0,1927
16,86,8,100,0,0,1928
4,67,19,108,0,0,1929
16,98,12,109,0,0,1930
8,107,14,116,3,0,1931
7,80,12,126,0,0,1932
14,87,9,110,1,0,1933
11,65,15,180,1,0,1934
27,78,10,149,1,0,1935
29,82,8,181,1,0,1936
18,98,10,173,0,0,1937
23,96,18,162,2,0,1938
15,93,15,137,1,0,1939
3,73,7,50,0,0,1940
5,87,12,85,0,0,1941
11,93,14,105,0,0,1942
0,77,13,50,0,0,1943
5,39,8,31,0,0,1944
0,43,13,80,0,0,1945
4,63,19,131,0,0,1946
4,86,26,107,2,0,1947
15,73,28,113,0,0,1948
8,91,27,114,0,0,1949
8,132,33,126,0,0,1950
15,101,27,142,2,0,1951
5,107,26,129,4,0,1952
13,133,18,102,0,0,1953
13,148,27,143,1,0,1954
16,147,39,103,3,0,1955
19,138,37,157,9,0,1956
34,144,36,135,12,0,1957
28,194,49,145,11,0,1958
28,184,86,129,15,1,1959
23,229,70,183,8,0,1960
35,197,92,171,11,1,1961
42,252,90,196,10,0,1962
49,268,109,216,25,0,1963
34,233,127,216,23,2,1964
50,269,119,228,44,1,1965
41,324,143,326,63,1,1966
32,298,177,364,69,5,1967
38,339,143,379,103,6,1968
54,363,156,372,126,5,1969
45,377,154,405,154,2,1970
31,370,132,332,175,0,1971
51,383,119,388,160,0,1972
35,416,103,374,132,4,1973
25,338,113,365,114,2,1974
33,332,99,386,119,3,1975
27,341,88,405,101,2,1976
29,376,128,348,114,6,1977
35,386,116,406,156,2,1978
58,484,150,408,162,2,1979
39,464,143,411,192,4,1980
42,388,126,387,198,2,1981
45,397,105,433,251,1,1982
27,415,121,431,266,3,1983
46,433,140,399,348,5,1984
62,470,118,436,369,11,1985
45,486,139,434,370,9,1986
46,501,152,442,424,4,1987
49,498,149,458,418,14,1988
61,455,143,451,427,9,1989
67,451,195,433,481,7,1990
56,459,186,472,409,18,1991
53,490,213,453,382,13,1992
58,464,164,859,388,8,1993
67,578,162,485,374,11,1994
84,508,123,422,354,16,1995
97,475,162,445,566,19,1996
99,482,143,543,543,32,1997
94,458,175,576,572,50,1998
107,417,138,591,589,108,1999
109,390,141,635,798,170,2000
113,272,169,480,618,228,2001
96,318,105,539,627,321,2002
80,325,125,469,675,231,2003
75,323,121,495,553,278,2004
73,316,98,471,480,312,2005
98,309,114,446,452,281,2006
90,285,100,494,532,301,2007
64,194,107,365,559,392,2008
71,311,43,372,509,318,2009

